# x y
927.907 534.52
892.119 395.484
872.464 349.6
901.507 421.077
897.702 417.581
935.63 558.733
895.076 426.999
896.905 427.07
928.326 528.404
914.222 476.331
902.33 435.709
875.976 359.353
899.618 441.16
937.118 566.571
886.432 393.944
877.566 366.41
897.497 434.753
888.685 391.726
885.672 389.626
925.649 528.436
899.222 441.688
913.815 486.095
920.826 496.158
928.55 535.584
918.712 487.198
904.905 440.796
887.899 401.204
903.996 455.897
937.645 572.486
913.4 474.88
896.337 411.537
891.84 401.853
929.128 532.691
912.993 467.926
907.759 464.545
887.309 396.016
906.084 447.563
896.049 429.421
929.044 539.105
891.981 402.977
885.989 394.913
917.316 500.991
917.555 495.096
914.036 480.569
921.848 518.055
915.83 484.017
916.137 490.297
936.244 568.48
889.435 407.876
891.447 412.082
925.297 523.702
902.842 433.614
900.65 425.87
935.049 562.098
884.336 377.713
897.636 408.167
944.696 595.955
895.817 407.575
892.693 419.171
909.949 473.46
915.006 496.275
902.205 448.327
917.317 490.193
901.401 444.142
918.902 503.445
882.899 385.612
884.461 393.368
899.45 440.124
910.881 465.498
918.354 490.259
900.653 418.995
905.165 441.618
900.523 434.058
915.206 475.789
916.813 486.087
903.253 437.217
897.338 418.496
882.972 388.572
898.923 413.042
918.654 500.807
893.921 405.925
898.131 409.654
904.58 448.309
937.234 570.206
945.658 599.454
909.375 468.429
902.454 435.925
918.842 500.192
904.34 427.967
900.142 422.884
905.072 452.428
895.629 401.563
931.042 542.664
922.051 507.216
900.457 430.352
891.783 416.423
915.886 479.339
888.686 391.177
891.315 409.718
900.181 435.587
885.23 386.53
887.254 403.88
891.604 418.149
908.651 461.194
940.664 580.385
924.449 519.767
913.159 488.258
905.278 441.622
910.912 468.093
915.854 495.05
908.744 459.042
913.041 472.187
926.487 521.51
885.971 380.391
891.637 412.602
878.292 370.942
925.911 529.06
888.589 405.028
915.803 491.338
929.074 537.477
896.424 410.533
919.264 494.618
918.519 489.359
898.542 437.509
875.677 363.556
918.948 490.082
909.012 453.562
932.879 555.469
933.819 557.449
889.427 409.613
923.156 513.41
928.68 529.819
913.123 484.955
891.756 404.92
918.571 501.196
906.893 443.072
886.546 385.728
905.808 438.61
902.275 423.841
931.588 548.462
905.523 447.9
913.905 492.669
