# x y
948.854 611.022
900.793 412.648
868.031 339.52
948.854 611.022
948.854 611.022
868.031 339.52
854.274 332.876
948.854 611.022
948.854 611.022
854.274 332.876
741.334 287.02
948.854 611.022
948.854 611.022
741.334 287.02
155.435 105.03
948.854 611.022
948.854 611.022
155.435 105.03
3.51614 178.884
948.854 611.022
948.854 611.022
3.51614 178.884
382.3 714.94
948.854 611.022
948.854 611.022
382.3 714.94
430.179 753.012
948.854 611.022
948.854 611.022
430.179 753.012
545.805 813.887
948.854 611.022
